filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6	tmt_7	tmt_8	tmt_9	tmt_10	tmt_11	tmt_12	tmt_13	tmt_14	tmt_15	tmt_16
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77323	22.0	234362.23	171820.44	129195.37	162058.1	158161.55	148397.66	144019.12	94381.78	190935.69	114755.53	187918.31	207764.7	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77466	22.0	161661.4	120321.26	66444.945	98540.84	96114.086	99539.73	117728.81	48414.773	120964.57	71952.84	102006.234	130760.39	0.0	8121.849	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77696	22.0	167668.44	134412.83	88988.74	125375.336	104247.9	104713.92	86501.14	76032.0	137047.38	85266.93	118842.58	150281.89	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77750	22.0	367896.38	173291.9	181957.4	219996.22	193133.08	138561.19	214298.98	89093.67	105427.99	107189.086	121712.266	152325.72	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77759	22.0	165356.56	98634.43	82075.81	130721.68	91983.48	95721.234	107346.16	54873.402	88972.42	76189.9	103616.0	103513.516	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77965	22.0	68605.48	325958.8	30826.518	592723.7	30540.281	383348.84	33075.766	27891.861	377898.2	17107.424	286865.62	39802.113	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78046	22.0	80004.0	46866.043	34606.125	45318.37	48312.234	0.0	41752.516	36939.727	68660.34	0.0	59033.64	66843.8	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78074	22.0	28269.115	19862.42	17218.717	19985.066	24503.72	16206.911	28332.047	13057.052	27201.879	12702.265	20559.412	29724.812	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78305	22.0	242759.4	137652.12	129627.89	180979.55	191644.11	146804.9	159333.31	120411.83	204235.12	107424.9	216685.98	210899.86	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78550	22.0	325994.47	197300.25	178820.67	288387.75	222743.39	193286.72	210581.48	131994.89	201664.39	113884.15	242893.25	262480.5	0.0	0.0	0.0	0.0
