filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11910	8.859	826272.2	2470175.0	2589756.8	2328688.8	1664874.2	1235572.6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11929	55.5	538640.9	817362.06	763801.44	468970.84	290345.44	71660.97
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12126	100.0	18619.373	36550.594	52514.156	43470.516	33564.293	11606.783
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12275	100.0	12509.414	16327.208	11734.789	7794.173	8813.217	12451.073
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12303	55.5	98887.03	121923.82	115346.15	66134.09	68615.336	52037.22
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12462	100.0	17469.59	66252.91	76979.055	67379.61	184847.03	51252.844
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12625	50.986	101322.016	183535.62	255508.0	116529.09	98778.51	62985.03
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12664	100.0	44980.504	377733.75	107967.06	97030.586	155646.31	135328.73
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12688	55.5	444837.75	61557.34	72243.05	53844.61	54788.71	48384.71
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12751	61.258	47594.945	44557.83	75244.375	51461.664	77848.25	462653.4
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12814	100.0	28667.617	35120.695	34783.17	26054.588	40995.047	34093.71
